rule,flagged,P_cems,R_cems,F1_cems,R_field_r20,FP_crowd_damaged,P_crowd_adj
MS,7872,0.175,0.703,0.281,0.81,0.15,0.303
IMPACT,10787,0.179,0.702,0.285,0.77,0.17,0.319
OSU,25882,0.118,0.914,0.209,0.95,0.18,0.273
UH,5362,0.182,0.502,0.267,0.59,0.28,0.415
LIST,15906,0.149,0.864,0.255,0.9,0.17,0.297
UNEP,5604,0.17,0.542,0.259,0.65,0.16,0.304
IMPACT∧OSU,7871,0.224,0.674,0.337,0.76,0.17,0.357
MS∧UH,965,0.622,0.389,0.479,0.53,0.3,0.734
MS∧LIST,2875,0.32,0.576,0.411,0.69,0.17,0.434
LIST∧UH,1825,0.374,0.44,0.404,0.52,0.35,0.591
UNEP∧OSU,3391,0.254,0.509,0.339,0.62,0.18,0.386
MS∧UNEP,3172,0.218,0.448,0.294,0.59,0.16,0.34
1-of-6,37316,0.094,0.982,0.171,0.99,0.17,0.244
2-of-6,20742,0.147,0.948,0.254,0.98,0.18,0.297
3-of-6,9116,0.239,0.856,0.374,0.93,0.18,0.373
4-of-6,3114,0.385,0.654,0.485,0.8,0.19,0.499
5-of-6,912,0.616,0.402,0.487,0.57,0.19,0.687
6-of-6,213,0.939,0.188,0.313,0.28,0.54,0.972
