h3,base,pdmg,cems,lisa,product
8867412009fffff,1327,35,0.0,ns,UNEP
886741200dfffff,110,2,0.0,ns,UNEP
8867412041fffff,418,4,0.0,ns,UNEP
8867412043fffff,2014,30,2.0,ns,UNEP
8867412045fffff,659,19,11.0,ns,UNEP
8867412047fffff,1378,22,1.0,LL,UNEP
8867412049fffff,6,0,0.0,ns,UNEP
886741204bfffff,246,1,0.0,ns,UNEP
8867412051fffff,3,0,0.0,ns,UNEP
8867412055fffff,114,0,0.0,ns,UNEP
8867412059fffff,543,1,3.0,ns,UNEP
886741205bfffff,1,0,0.0,ns,UNEP
886741205dfffff,1203,10,0.0,ns,UNEP
8867412061fffff,2060,50,2.0,ns,UNEP
8867412065fffff,593,11,1.0,ns,UNEP
8867412067fffff,344,7,0.0,ns,UNEP
8867412069fffff,781,17,2.0,ns,UNEP
886741206bfffff,1142,9,2.0,ns,UNEP
886741206dfffff,269,5,2.0,ns,UNEP
8867412101fffff,60,4,0.0,ns,UNEP
8867412105fffff,825,38,0.0,ns,UNEP
8867412107fffff,90,1,0.0,ns,UNEP
8867412109fffff,9,0,1.0,LH,UNEP
886741210dfffff,1064,51,0.0,ns,UNEP
8867412129fffff,186,12,0.0,ns,UNEP
886741212dfffff,77,2,0.0,ns,UNEP
8867412141fffff,104,53,1.0,HH,UNEP
8867412143fffff,1223,544,3.0,HH,UNEP
8867412145fffff,1372,319,12.0,HH,UNEP
8867412147fffff,655,72,1.0,HH,UNEP
8867412149fffff,462,77,101.0,ns,UNEP
886741214bfffff,29,0,5.0,LH,UNEP
886741214dfffff,493,62,93.0,LH,UNEP
8867412155fffff,31,20,0.0,HH,UNEP
8867412159fffff,147,3,0.0,ns,UNEP
886741215bfffff,4,0,0.0,ns,UNEP
886741215dfffff,818,146,1.0,HH,UNEP
8867412161fffff,50,2,2.0,LH,UNEP
8867412163fffff,530,29,0.0,ns,UNEP
8867412165fffff,1621,270,13.0,ns,UNEP
8867412167fffff,993,90,3.0,ns,UNEP
8867412169fffff,1060,490,19.0,HH,UNEP
