h3,base,pdmg,cems,lisa,product
8867412009fffff,1327,579,0.0,HH,OSU
886741200dfffff,110,7,0.0,HH,OSU
8867412041fffff,418,102,0.0,HH,OSU
8867412043fffff,2014,870,2.0,HH,OSU
8867412045fffff,660,301,11.0,HH,OSU
8867412047fffff,1378,356,1.0,HH,OSU
8867412049fffff,6,5,0.0,HH,OSU
886741204bfffff,246,67,0.0,HH,OSU
8867412051fffff,3,0,0.0,LH,OSU
8867412055fffff,114,30,0.0,HH,OSU
8867412059fffff,543,62,3.0,LH,OSU
886741205bfffff,1,0,0.0,ns,OSU
886741205dfffff,1203,389,0.0,HH,OSU
8867412061fffff,2060,603,2.0,HH,OSU
8867412065fffff,593,62,1.0,HH,OSU
8867412067fffff,344,87,0.0,HH,OSU
8867412069fffff,780,243,2.0,HH,OSU
886741206bfffff,1142,219,2.0,HH,OSU
886741206dfffff,268,60,2.0,HH,OSU
8867412083fffff,9,0,0.0,ns,OSU
8867412087fffff,216,5,0.0,ns,OSU
8867412091fffff,1148,32,0.0,ns,OSU
8867412093fffff,1078,28,3.0,ns,OSU
8867412095fffff,1301,172,0.0,ns,OSU
8867412097fffff,2034,63,0.0,ns,OSU
886741209bfffff,117,0,0.0,ns,OSU
88674120a1fffff,365,88,0.0,ns,OSU
88674120a3fffff,1958,113,0.0,ns,OSU
88674120a7fffff,685,114,0.0,ns,OSU
88674120abfffff,934,32,0.0,ns,OSU
88674120b1fffff,1729,71,0.0,ns,OSU
88674120b3fffff,1212,49,0.0,ns,OSU
88674120b5fffff,1115,66,0.0,HH,OSU
88674120b7fffff,969,68,0.0,ns,OSU
88674120b9fffff,1899,168,0.0,ns,OSU
88674120bbfffff,1424,72,0.0,ns,OSU
88674120bdfffff,2070,103,0.0,ns,OSU
8867412101fffff,60,0,0.0,ns,OSU
8867412105fffff,824,72,0.0,ns,OSU
8867412107fffff,91,0,0.0,ns,OSU
8867412109fffff,9,0,1.0,LH,OSU
886741210dfffff,1064,126,0.0,HH,OSU
8867412129fffff,207,0,0.0,ns,OSU
886741212bfffff,2,0,0.0,ns,OSU
886741212dfffff,77,7,0.0,ns,OSU
8867412141fffff,104,90,1.0,HH,OSU
8867412143fffff,1223,454,3.0,HH,OSU
8867412145fffff,1371,1213,12.0,HH,OSU
8867412147fffff,656,345,1.0,HH,OSU
8867412149fffff,461,356,101.0,ns,OSU
886741214bfffff,40,24,5.0,HH,OSU
886741214dfffff,494,384,93.0,ns,OSU
8867412155fffff,31,16,0.0,HH,OSU
8867412159fffff,148,34,0.0,HH,OSU
886741215bfffff,4,0,0.0,LH,OSU
886741215dfffff,818,279,1.0,HH,OSU
8867412161fffff,49,5,2.0,HH,OSU
8867412163fffff,529,49,0.0,HH,OSU
8867412165fffff,1621,1070,13.0,HH,OSU
8867412167fffff,993,61,3.0,LH,OSU
8867412169fffff,1062,921,19.0,HH,OSU
886741216bfffff,1982,782,3.0,HH,OSU
886741216dfffff,502,418,11.0,HH,OSU
8867412213fffff,11,1,0.0,HH,OSU
8867412217fffff,18,10,0.0,HH,OSU
8867412233fffff,1059,625,32.0,HH,OSU
8867412235fffff,4,1,0.0,ns,OSU
8867412237fffff,71,14,2.0,HH,OSU
88674122c1fffff,619,358,13.0,HH,OSU
88674122c3fffff,1,0,0.0,LH,OSU
88674122c5fffff,120,63,0.0,HH,OSU
88674122c7fffff,1,0,0.0,ns,OSU
88674122c9fffff,206,174,12.0,HH,OSU
88674122cbfffff,166,110,0.0,HH,OSU
88674122cdfffff,5,5,0.0,HH,OSU
88674122e1fffff,223,92,2.0,HH,OSU
