h3,base,pdmg,cems,lisa,product
8867412009fffff,1327,40,0.0,ns,UH
886741200dfffff,110,8,0.0,LL,UH
8867412041fffff,418,16,0.0,ns,UH
8867412043fffff,2014,21,2.0,ns,UH
8867412045fffff,659,45,11.0,ns,UH
8867412047fffff,1378,18,1.0,LL,UH
8867412049fffff,6,0,0.0,ns,UH
886741204bfffff,246,7,0.0,ns,UH
8867412051fffff,3,2,0.0,ns,UH
8867412055fffff,114,17,0.0,ns,UH
8867412059fffff,543,171,3.0,HH,UH
886741205bfffff,1,1,0.0,ns,UH
886741205dfffff,1203,201,0.0,ns,UH
8867412061fffff,2060,71,2.0,ns,UH
8867412065fffff,593,41,1.0,ns,UH
8867412067fffff,344,35,0.0,ns,UH
8867412069fffff,781,90,2.0,ns,UH
886741206bfffff,1142,45,2.0,ns,UH
886741206dfffff,269,28,2.0,ns,UH
8867412083fffff,9,3,0.0,HH,UH
8867412087fffff,216,115,0.0,HH,UH
8867412091fffff,1148,20,0.0,ns,UH
8867412093fffff,1078,72,3.0,ns,UH
8867412095fffff,1302,425,0.0,ns,UH
8867412097fffff,2035,206,0.0,LH,UH
886741209bfffff,117,12,0.0,ns,UH
88674120a1fffff,366,119,0.0,HH,UH
88674120a3fffff,1957,928,0.0,HH,UH
88674120a7fffff,685,289,0.0,ns,UH
88674120abfffff,933,224,0.0,HH,UH
88674120b1fffff,1729,636,0.0,HH,UH
88674120b3fffff,1212,338,0.0,HH,UH
88674120b5fffff,1115,580,0.0,ns,UH
88674120b7fffff,969,12,0.0,ns,UH
88674120b9fffff,1899,796,0.0,HH,UH
88674120bbfffff,1422,684,0.0,HH,UH
88674120bdfffff,2070,933,0.0,HH,UH
8867412101fffff,60,1,0.0,ns,UH
8867412105fffff,825,24,0.0,ns,UH
8867412107fffff,90,4,0.0,ns,UH
8867412109fffff,9,0,1.0,ns,UH
886741210dfffff,1064,7,0.0,ns,UH
8867412129fffff,207,36,0.0,ns,UH
886741212bfffff,2,0,0.0,ns,UH
886741212dfffff,77,3,0.0,ns,UH
8867412141fffff,104,0,1.0,ns,UH
8867412143fffff,1223,5,3.0,ns,UH
8867412145fffff,1372,46,12.0,ns,UH
8867412147fffff,655,9,1.0,LL,UH
8867412149fffff,462,31,101.0,ns,UH
886741214bfffff,29,0,5.0,ns,UH
886741214dfffff,493,55,93.0,ns,UH
8867412155fffff,31,5,0.0,ns,UH
8867412159fffff,147,7,0.0,ns,UH
886741215bfffff,4,2,0.0,ns,UH
886741215dfffff,818,15,1.0,ns,UH
8867412161fffff,50,10,2.0,HL,UH
8867412163fffff,530,17,0.0,LL,UH
8867412165fffff,1621,8,13.0,ns,UH
8867412167fffff,993,20,3.0,ns,UH
8867412169fffff,1060,3,19.0,ns,UH
886741216bfffff,1980,11,3.0,ns,UH
886741216dfffff,502,2,11.0,ns,UH
8867412213fffff,11,10,0.0,ns,UH
8867412217fffff,18,3,0.0,LH,UH
8867412233fffff,1059,606,32.0,HH,UH
8867412235fffff,4,1,0.0,ns,UH
8867412237fffff,71,51,2.0,HH,UH
88674122c1fffff,619,323,13.0,ns,UH
88674122c3fffff,1,0,0.0,LH,UH
88674122c5fffff,120,104,0.0,HH,UH
88674122c7fffff,1,0,0.0,LH,UH
88674122c9fffff,206,117,12.0,ns,UH
88674122cbfffff,166,77,0.0,ns,UH
88674122cdfffff,5,2,0.0,HH,UH
88674122e1fffff,223,96,2.0,HH,UH
88674122e5fffff,216,88,1.0,HH,UH
88674122e7fffff,2,0,0.0,ns,UH
88674122e9fffff,1479,659,0.0,HH,UH
88674122ebfffff,20,14,0.0,HH,UH
88674122edfffff,1102,437,3.0,HH,UH
8867412313fffff,37,2,0.0,ns,UH
8867412317fffff,310,16,15.0,ns,UH
8867412323fffff,182,31,17.0,ns,UH
8867412327fffff,256,8,75.0,ns,UH
8867412331fffff,179,5,6.0,ns,UH
8867412333fffff,105,1,0.0,ns,UH
8867412335fffff,607,15,25.0,ns,UH
8867412337fffff,27,0,0.0,ns,UH
8867412339fffff,168,14,5.0,ns,UH
886741233bfffff,278,25,6.0,ns,UH
886741233dfffff,272,6,3.0,ns,UH
8867412501fffff,309,29,0.0,ns,UH
8867412503fffff,832,54,0.0,ns,UH
8867412505fffff,429,32,0.0,ns,UH
8867412507fffff,1006,169,0.0,ns,UH
8867412509fffff,370,25,0.0,ns,UH
886741250bfffff,508,31,0.0,ns,UH
886741250dfffff,28,4,0.0,ns,UH
8867412511fffff,157,8,0.0,ns,UH
8867412513fffff,52,0,0.0,ns,UH
8867412515fffff,603,165,0.0,ns,UH
8867412517fffff,143,8,0.0,ns,UH
8867412519fffff,167,0,0.0,ns,UH
886741251dfffff,869,29,0.0,ns,UH
8867412521fffff,1662,729,0.0,HL,UH
8867412523fffff,2683,259,0.0,ns,UH
8867412525fffff,2242,63,0.0,ns,UH
8867412527fffff,2544,238,0.0,ns,UH
8867412529fffff,1096,147,0.0,ns,UH
886741252bfffff,1403,472,0.0,ns,UH
886741252dfffff,2524,134,0.0,ns,UH
8867412531fffff,394,132,0.0,ns,UH
8867412533fffff,816,99,0.0,ns,UH
8867412535fffff,197,30,0.0,ns,UH
8867412537fffff,220,8,0.0,ns,UH
8867412539fffff,856,179,0.0,ns,UH
886741253bfffff,216,37,0.0,ns,UH
886741253dfffff,597,224,0.0,ns,UH
8867412541fffff,1377,24,0.0,ns,UH
8867412543fffff,921,185,0.0,ns,UH
