res,product,cells,rho_product,rho_null,delta,top20_product,top20_null
9,Microsoft,429,0.306,0.4,-0.094,0.15,0.0
8,Microsoft,112,0.474,0.56,-0.086,0.35,0.45
9,IMPACT v2,376,0.285,0.25,0.035,0.2,0.0
8,IMPACT v2,110,0.548,0.446,0.102,0.45,0.4
9,OSU,483,0.385,0.351,0.034,0.1,0.0
8,OSU,134,0.642,0.557,0.085,0.45,0.4
9,UH,450,0.128,0.414,-0.286,0.05,0.0
8,UH,119,0.384,0.591,-0.207,0.4,0.45
9,LIST,485,0.465,0.335,0.131,0.2,0.0
8,LIST,133,0.668,0.539,0.13,0.65,0.4
9,UNEP,415,0.212,0.318,-0.106,0.1,0.0
8,UNEP,123,0.463,0.52,-0.058,0.4,0.4
