predictor,kind,precision,recall,f1,n_flags,threshold
MS,product (as shipped),0.218,0.313,0.257,7872,
IMPACT,product (as shipped),0.252,0.495,0.334,10787,
OSU,product (as shipped),0.17,0.805,0.281,25882,
UH,product (as shipped),0.225,0.22,0.223,5362,
LIST,product (as shipped),0.211,0.611,0.313,15906,
UNEP,product (as shipped),0.211,0.216,0.213,5604,
geography null (logistic),our score @ its best single cut,0.224,0.581,0.323,14235,0.6115
geography null (rand. forest),our score @ its best single cut,0.195,0.501,0.281,14043,0.4226
flat k-of-6 voting,our score @ its best single cut,0.322,0.536,0.402,9116,3.0
weighted fusion,our score @ its best single cut,0.425,0.486,0.453,6259,0.7588
